model,delay,upper_candidate,selected_months,total_months,fraction,limit,passed,market
fixed_jm,1,220.0,117,408,0.2867647058823529,1.0,True,us
hmm,1,20.0,90,408,0.22058823529411764,1.0,True,us
fixed_jm,5,220.0,32,408,0.0784313725490196,1.0,True,us
hmm,5,20.0,5,408,0.012254901960784314,1.0,True,us
fixed_jm,10,220.0,164,408,0.4019607843137255,1.0,True,us
hmm,10,20.0,164,408,0.4019607843137255,1.0,True,us
fixed_jm,1,500.0,74,408,0.18137254901960784,1.0,True,de
hmm,1,20.0,22,408,0.05392156862745098,1.0,True,de
fixed_jm,5,500.0,76,408,0.18627450980392157,1.0,True,de
hmm,5,20.0,36,408,0.08823529411764706,1.0,True,de
fixed_jm,10,500.0,71,408,0.17401960784313725,1.0,True,de
hmm,10,20.0,20,408,0.049019607843137254,1.0,True,de
fixed_jm,1,220.0,151,408,0.3700980392156863,1.0,True,jp
hmm,1,20.0,161,408,0.3946078431372549,1.0,True,jp
fixed_jm,5,220.0,133,408,0.32598039215686275,1.0,True,jp
hmm,5,20.0,122,408,0.29901960784313725,1.0,True,jp
fixed_jm,10,220.0,131,408,0.32107843137254904,1.0,True,jp
hmm,10,20.0,25,408,0.061274509803921566,1.0,True,jp
