date,value
1969-05-01,4.38
1969-06-01,5.5
1969-07-01,5.78
1969-08-01,6.5
1969-09-01,6.94
1969-10-01,7.42
1969-11-01,7.69
1969-12-01,8.83
1970-01-01,9.29
1970-02-01,9.51
1970-03-01,9.81
1970-04-01,9.86
1970-05-01,9.93
1970-06-01,9.88
1970-07-01,9.590000000000002
1970-08-01,9.16
1970-09-01,9.36
1970-10-01,9.53
1970-11-01,8.84
1970-12-01,8.12
1971-01-01,7.5
1971-02-01,7.47
1971-03-01,7.46
1971-04-01,6.36
1971-05-01,6.16
1971-06-01,6.8
1971-07-01,7.66
1971-08-01,7.559999999999999
1971-09-01,7.59
1971-10-01,7.8
1971-11-01,6.79
1971-12-01,6.63
1972-01-01,5.19
1972-02-01,4.88
1972-03-01,4.8
1972-04-01,4.78
1972-05-01,4.71
1972-06-01,4.65
1972-07-01,4.65
1972-08-01,4.8
1972-09-01,5.32
1972-10-01,6.88
1972-11-01,8.07
1972-12-01,8.599999999999998
1973-01-01,7.889999999999999
1973-02-01,7.96
1973-03-01,8.769999999999998
1973-04-01,10.62
1973-05-01,12.42
1973-06-01,13.62
1973-07-01,14.3
1973-08-01,14.57
1973-09-01,14.25
1973-10-01,14.49
1973-11-01,13.62
1973-12-01,13.2
1974-01-01,12.09
1974-02-01,10.67
1974-03-01,11.2
1974-04-01,10.07
1974-05-01,9.1
1974-06-01,9.46
1974-07-01,9.48
1974-08-01,9.65
1974-09-01,9.69
1974-10-01,9.78
1974-11-01,9.04
1974-12-01,8.599999999999998
1975-01-01,7.74
1975-02-01,6.43
1975-03-01,5.71
1975-04-01,4.89
1975-05-01,4.99
1975-06-01,4.88
1975-07-01,5.4
1975-08-01,5.4
1975-09-01,5.4
1975-10-01,5.4
1975-11-01,5.4
1975-12-01,5.4
1976-01-01,5.4
1976-02-01,5.4
1976-03-01,5.24
1976-04-01,4.85
1976-05-01,4.85
1976-06-01,4.85
1976-07-01,5.37
1976-08-01,5.37
1976-09-01,5.37
1976-10-01,5.37
1976-11-01,5.25
1976-12-01,4.93
1977-01-01,4.93
1977-02-01,4.89
1977-03-01,4.78
1977-04-01,4.49
1977-05-01,4.44
1977-06-01,4.44
1977-07-01,4.17
1977-08-01,4.16
1977-09-01,4.0
1977-10-01,4.0
1977-11-01,4.0
1977-12-01,4.0
1978-01-01,3.73
1978-02-01,3.68
1978-03-01,3.64
1978-04-01,3.57
1978-05-01,3.57
1978-06-01,3.57
1978-07-01,3.57
1978-08-01,3.57
1978-09-01,4.23
1978-10-01,4.0
1978-11-01,4.0
1978-12-01,4.0
1979-01-01,4.04
1979-02-01,4.22
1979-03-01,4.22
1979-04-01,4.75
1979-05-01,4.77
1979-06-01,5.49
1979-07-01,5.49
1979-08-01,5.91
1979-09-01,5.99
1979-10-01,5.99
1979-11-01,6.95
1979-12-01,7.94
1980-01-01,7.87
1980-02-01,7.87
1980-03-01,8.17
1980-04-01,8.4
1980-05-01,8.4
1980-06-01,8.35
1980-07-01,8.09
1980-08-01,7.41
1980-09-01,7.41
1980-10-01,7.41
1980-11-01,7.41
1980-12-01,7.41
1981-01-01,8.48
1981-02-01,8.89
1981-03-01,9.94
1981-04-01,9.85
1981-05-01,10.6
1981-06-01,11.11
1981-07-01,11.2
1981-08-01,12.05
1981-09-01,12.05
1981-10-01,10.37
1981-11-01,10.27
1981-12-01,9.63
1982-01-01,9.8
1982-02-01,9.59
1982-03-01,9.3
1982-04-01,8.64
1982-05-01,8.46
1982-06-01,8.49
1982-07-01,8.84
1982-08-01,8.54
1982-09-01,7.819
1982-10-01,7.31
1982-11-01,6.719
1982-12-01,6.27
1983-01-01,5.64
1983-02-01,5.54
1983-03-01,5.14
1983-04-01,4.93
1983-05-01,5.12
1983-06-01,5.65
1983-07-01,5.71
1983-08-01,5.82
1983-09-01,6.1
1983-10-01,5.9
1983-11-01,5.83
1983-12-01,6.12
1984-01-01,5.99
1984-02-01,5.81
1984-03-01,5.58
1984-04-01,5.65
1984-05-01,5.71
1984-06-01,5.82
1984-07-01,5.82
1984-08-01,5.82
1984-09-01,5.63
1984-10-01,5.49
1984-11-01,5.37
1984-12-01,5.27
1985-01-01,5.25
1985-02-01,5.67
1985-03-01,6.04
1985-04-01,5.92
1985-05-01,5.67
1985-06-01,5.28
1985-07-01,5.08
1985-08-01,4.46
1985-09-01,4.05
1985-10-01,4.05
1985-11-01,4.55
1985-12-01,4.46
1986-01-01,4.2
1986-02-01,4.12
1986-03-01,3.9
1986-04-01,3.61
1986-05-01,3.5
1986-06-01,3.88
1986-07-01,3.9
1986-08-01,3.83
1986-09-01,3.8
1986-10-01,3.82
1986-11-01,3.9
1986-12-01,3.9
1987-01-01,3.87
1987-02-01,3.47
1987-03-01,3.37
1987-04-01,3.05
1987-05-01,2.97
1987-06-01,2.95
1987-07-01,2.95
1987-08-01,3.23
1987-09-01,3.35
1987-10-01,3.77
1987-11-01,3.28
1987-12-01,3.15
1988-01-01,3.15
1988-02-01,3.15
1988-03-01,3.15
1988-04-01,3.15
1988-05-01,3.15
1988-06-01,3.15
1988-07-01,3.15
1988-08-01,4.33
1988-09-01,4.41
1988-10-01,4.26
1988-11-01,4.2
1988-12-01,4.2
1989-01-01,4.42
1989-02-01,5.49
1989-03-01,6.0
1989-04-01,6.0
1989-05-01,6.18
1989-06-01,6.5
1989-07-01,6.49
1989-08-01,6.41
1989-09-01,6.57
1989-10-01,6.9
1989-11-01,7.2
1989-12-01,7.25
1990-01-01,7.25
1990-02-01,8.0
1990-03-01,8.0
1990-04-01,8.25
1990-05-01,8.25
1990-06-01,8.25
1990-07-01,8.25
1990-08-01,8.25
1990-09-01,8.25
1990-10-01,8.25
1990-11-01,8.25
1990-12-01,8.25
1991-01-01,8.25
1991-02-01,8.25
1991-03-01,8.25
1991-04-01,8.25
1991-05-01,8.25
1991-06-01,8.25
1991-07-01,8.25
1991-08-01,8.25
1991-09-01,8.25
1991-10-01,8.25
1991-11-01,8.25
1991-12-01,8.5
1992-01-01,8.5
1992-02-01,8.5
1992-03-01,8.5
1992-04-01,8.5
1992-05-01,8.5
1992-06-01,8.5
1992-07-01,8.75
1992-08-01,8.75
1992-09-01,8.6
1992-10-01,7.7
1992-11-01,7.5
1992-12-01,7.5
1993-01-01,7.35
1993-02-01,7.0
1993-03-01,6.6
1993-04-01,6.6
1993-05-01,6.6
1993-06-01,6.45
1993-07-01,6.3
1993-08-01,5.85
1993-09-01,5.7
1993-10-01,5.7
1993-11-01,5.4
1993-12-01,5.1
1994-01-01,5.1
1994-02-01,5.1
1994-03-01,5.1
1994-04-01,5.1
1994-05-01,4.8
1994-06-01,4.95
1994-07-01,4.85
1994-08-01,5.0
1994-09-01,5.1
1994-10-01,5.1
1994-11-01,5.2
1994-12-01,5.2
1995-01-01,5.2
1995-02-01,5.2
1995-03-01,4.85
1995-04-01,4.65
1995-05-01,4.3
1995-06-01,4.35
1995-07-01,4.35
1995-08-01,4.35
1995-09-01,4.1
1995-10-01,3.9
1995-11-01,3.8
1995-12-01,3.8
1996-01-01,3.4
1996-02-01,3.4
1996-03-01,3.4
1996-04-01,3.4
1996-05-01,3.3
1996-06-01,3.55
1996-07-01,3.46
1996-08-01,3.2
1996-09-01,3.2
1996-10-01,3.1
1996-11-01,3.1
1996-12-01,3.1
1997-01-01,3.05
1997-02-01,3.05
1997-03-01,3.25
1997-04-01,3.25
1997-05-01,3.2
1997-06-01,3.2
1997-07-01,3.2
1997-08-01,3.2
1997-09-01,3.2
1997-10-01,3.75
1997-11-01,3.75
1997-12-01,3.75
1998-01-01,3.57
1998-02-01,3.5
1998-03-01,3.5
1998-04-01,3.7
1998-05-01,3.7
1998-06-01,3.63
1998-07-01,3.63
1998-08-01,3.2
1998-09-01,3.2
1998-10-01,3.2
1998-11-01,3.2
1998-12-01,3.0
1999-01-01,2.7
1999-02-01,2.7
1999-03-01,2.7
1999-04-01,2.5
1999-05-01,2.5
1999-06-01,2.65
1999-07-01,2.65
1999-08-01,2.9
1999-09-01,3.0
1999-10-01,3.47
1999-11-01,3.4
1999-12-01,3.4
2000-01-01,3.65
2000-02-01,3.65
2000-03-01,3.65
2000-04-01,4.14
2000-05-01,4.4
2000-06-01,4.4
2000-07-01,4.72
2000-08-01,4.72
2000-09-01,4.77
2000-10-01,4.77
2000-11-01,4.7
2000-12-01,4.25
2001-01-01,4.2
2001-02-01,4.2
2001-03-01,3.95
2001-04-01,3.95
2001-05-01,3.99
2001-06-01,3.9
2001-07-01,3.85
2001-08-01,3.57
2001-09-01,3.35
2001-10-01,2.9
2001-11-01,3.05
2001-12-01,3.0
2002-01-01,3.3
2002-02-01,3.2
2002-03-01,3.5
2002-04-01,3.25
2002-05-01,3.4
2002-06-01,3.2
2002-07-01,2.8
2002-08-01,2.9
2002-09-01,2.6
2002-10-01,2.6
